image_name,image_width,image_height,bbox_x,bbox_y,bbox_width,bbox_height
1.jpg,1024,768,148,144,224,104
1.jpg,1024,768,460,360,224,104
1.jpg,1024,768,148,464,224,16
1.jpg,1024,768,700,360,20,104
1.jpg,1024,768,700,479,20,1
10.jpg,1024,768,100,200,200,100
10.jpg,1024,768,350,200,300,100
10.jpg,1024,768,700,200,20,100
10.jpg,1024,768,350,479,300,1
11.jpg,1080,1920,719,169,1,37
11.jpg,1080,1920,719,247,1,37
11.jpg,1080,1920,719,325,1,37
12.jpg,800,600,150,100,100,50
12.jpg,800,600,150,200,100,50
12.jpg,800,600,550,100,100,50
13.jpg,1000,750,150,150,200,300
13.jpg,1000,750,600,150,120,100
13.jpg,1000,750,600,300,120,100
13.jpg,1000,750,600,479,120,1
14.jpg,1024,768,109,129,182,47
14.jpg,1024,768,109,209,392,107
14.jpg,1024,768,559,129,161,47
14.jpg,1024,768,559,209,161,47
14.jpg,1024,768,559,309,161,47
14.jpg,1024,768,559,409,161,47
15.jpg,1024,768,186,147,169,169
15.jpg,1024,768,447,147,169,169
15.jpg,1024,768,708,147,12,169
16.jpg,1024,768,150,120,150,50
16.jpg,1024,768,400,120,150,50
16.jpg,1024,768,650,120,70,50
16.jpg,1024,768,400,250,150,50
16.jpg,1024,768,400,400,150,50
16.jpg,1024,768,400,479,150,1
18.jpg,1000,750,165,205,180,100
18.jpg,1000,750,400,205,200,100
18.jpg,1000,750,700,195,20,100
18.jpg,1000,750,700,400,20,80
19.jpg,1000,750,100,150,150,100
19.jpg,1000,750,300,150,150,100
19.jpg,1000,750,500,150,200,100
19.jpg,1000,750,100,450,150,30
19.jpg,1000,750,300,450,150,30
19.jpg,1000,750,500,450,200,30
19.jpg,1000,750,700,450,20,30
2.jpg,1024,768,145,207,100,40
2.jpg,1024,768,385,197,100,40
2.jpg,1024,768,625,197,95,40
2.jpg,1024,768,145,407,100,40
2.jpg,1024,768,385,407,100,40
2.jpg,1024,768,625,407,95,40
20.jpg,1000,667,177,197,177,100
20.jpg,1000,667,667,197,177,100
20.jpg,1000,667,177,397,177,100
21.jpg,853,536,165,137,200,100
21.jpg,853,536,545,137,175,100
22.jpg,1000,667,149,129,177,101
22.jpg,1000,667,689,129,177,101
22.jpg,1000,667,149,329,177,101
23.jpg,800,600,290,50,220,60
23.jpg,800,600,290,150,220,60
23.jpg,800,600,290,250,220,60
23.jpg,800,600,290,450,220,60
23.jpg,800,600,290,550,220,60
24.jpg,600,400,100,100,100,100
24.jpg,600,400,400,100,100,100
24.jpg,600,400,200,300,100,100
25.jpg,600,600,150,100,100,50
25.jpg,600,600,400,100,100,50
25.jpg,600,600,150,300,100,50
26.jpg,600,400,100,100,100,50
26.jpg,600,400,400,100,100,50
26.jpg,600,400,100,300,100,50
27.jpg,853,569,109,103,100,40
27.jpg,853,569,109,203,100,40
27.jpg,853,569,109,303,100,40
27.jpg,853,569,109,403,100,40
27.jpg,853,569,409,203,100,40
27.jpg,853,569,509,103,100,40
27.jpg,853,569,509,203,100,40
27.jpg,853,569,509,303,100,40
27.jpg,853,569,509,403,100,40
28.jpg,600,400,100,100,150,50
28.jpg,600,400,400,100,150,50
28.jpg,600,400,100,250,250,50
29.jpg,1024,768,249,147,187,101
29.jpg,1024,768,607,307,113,101
29.jpg,1024,768,249,367,187,101
3.jpg,469,480,101,101,100,100
3.jpg,469,480,301,301,100,100
3.jpg,469,480,101,301,100,100
4.jpg,720,540,100,100,100,50
4.jpg,720,540,300,300,100,50
4.jpg,720,540,500,100,100,50
4.jpg,720,540,500,400,100,50
